GEOID,2014_Filings,2015_Filings,2016_Filings,Total_Filings,2014_Evictions,2015_Evictions,2016_Evictions,Total_Evictions,Rate_2014,Rate_2015,Rate_2016,eviction-rate
12057010211,36,44,49,129,15,20,25,60,0.416666667,0.454545455,0.510204082,0.465116279
12057010212,4,5,3,12,2,2,1,5,0.5,0.4,0.333333333,0.416666667
12057010213,12,27,46,85,6,19,26,51,0.5,0.703703704,0.565217391,0.6
12057010214,1,3,5,9,1,2,3,6,1,0.666666667,0.6,0.666666667
12057010303,68,94,87,249,37,58,52,147,0.544117647,0.617021277,0.597701149,0.590361446
12057010304,16,14,26,56,9,5,16,30,0.5625,0.357142857,0.615384615,0.535714286
12057010305,63,51,50,164,36,30,29,95,0.571428571,0.588235294,0.58,0.579268293
12057010401,84,111,86,281,44,59,58,161,0.523809524,0.531531532,0.674418605,0.572953737
12057010402,145,182,157,484,81,94,101,276,0.55862069,0.516483516,0.643312102,0.570247934
12057010501,131,182,142,455,58,100,74,232,0.442748092,0.549450549,0.521126761,0.50989011
12057010502,51,64,48,163,22,31,25,78,0.431372549,0.484375,0.520833333,0.478527607
12057010600,30,50,70,150,21,26,36,83,0.7,0.52,0.514285714,0.553333333
12057010701,67,74,53,194,40,40,33,113,0.597014925,0.540540541,0.622641509,0.582474227
12057010702,32,36,30,98,9,22,9,40,0.28125,0.611111111,0.3,0.408163265
12057010805,289,298,229,816,167,169,133,469,0.577854671,0.567114094,0.580786026,0.574754902
12057010808,115,173,107,395,64,82,61,207,0.556521739,0.473988439,0.570093458,0.524050633
12057010809,35,38,43,116,12,17,30,59,0.342857143,0.447368421,0.697674419,0.50862069
12057010810,52,69,49,170,36,32,19,87,0.692307692,0.463768116,0.387755102,0.511764706
12057010811,94,124,119,337,41,59,71,171,0.436170213,0.475806452,0.596638655,0.507418398
12057010812,83,97,96,276,40,49,54,143,0.481927711,0.505154639,0.5625,0.518115942
12057010813,107,141,125,373,48,59,86,193,0.448598131,0.418439716,0.688,0.517426273
12057010814,49,35,52,136,22,15,27,64,0.448979592,0.428571429,0.519230769,0.470588235
12057010815,113,135,100,348,52,71,57,180,0.460176991,0.525925926,0.57,0.517241379
12057010816,248,263,214,725,125,157,113,395,0.504032258,0.596958175,0.528037383,0.544827586
12057010817,180,166,186,532,98,103,101,302,0.544444444,0.620481928,0.543010753,0.567669173
